asset_id,attribute_count,attribute_count_rarity_score,Clothes_attribute,Clothes_rarity_score,Eyes_attribute,Eyes_rarity_score,Mouth_attribute,Mouth_rarity_score,Fur_attribute,Fur_rarity_score,Background_attribute,Background_rarity_score,Hat_attribute,Hat_rarity_score,Earring_attribute,Earring_rarity_score,overall_rarity_score
0,6,1.8786398647379297,Striped Tee,24.271844660194173,X Eyes,41.1522633744856,Discomfort,48.07692307692308,Robot,37.735849056603776,Orange,7.855459544383347,,4.432624113475177,Silver Hoop,11.337868480725623,176.74147217152873
1,5,3.937007874015748,Vietnam Jacket,44.642857142857146,Blue Beams,204.08163265306123,Grin,14.025245441795231,Robot,37.735849056603776,Orange,7.855459544383347,,4.432624113475177,,1.4238929232521713,318.1345687494439
2,5,3.937007874015748,,5.302226935312832,3d,20.53388090349076,Bored Cigarette,14.084507042253522,Robot,37.735849056603776,Aquamarine,7.8988941548183265,Sea Captain's Hat,32.89473684210526,,1.4238929232521713,123.81099573185239
3,5,3.937007874015748,Bone Necklace,49.26108374384237,Bored,5.834305717619603,Tongue Out,49.504950495049506,Cheetah,24.630541871921185,Purple,7.74593338497289,,4.432624113475177,,1.4238929232521713,146.77034012414867
4,6,1.8786398647379297,Navy Striped Tee,29.940119760479043,Closed,14.084507042253522,Phoneme L,41.49377593360996,Golden Brown,12.853470437017997,Blue,8.051529790660226,Party Hat 2,93.45794392523365,,1.4238929232521713,203.1838796772445
5,6,1.8786398647379297,Bayc T Red,71.42857142857143,X Eyes,41.1522633744856,Dumbfounded,19.801980198019802,Brown,7.2992700729927,Army Green,8.045052292839904,Bayc Flipped Brim,43.29004329004329,,1.4238929232521713,194.3197134449428
6,6,1.8786398647379297,Tweed Suit,70.92198581560284,Crazy,24.57002457002457,Bored,4.401408450704225,Cream,15.723270440251572,Yellow,7.79423226812159,S&m Hat,42.5531914893617,,1.4238929232521713,169.2666458220566
7,6,1.8786398647379297,Wool Turtleneck,41.666666666666664,Angry,23.148148148148145,Bored,4.401408450704225,Golden Brown,12.853470437017997,Gray,8.547008547008547,Stuntman Helmet,63.69426751592357,,1.4238929232521713,157.61350255345923
8,6,1.8786398647379297,,5.302226935312832,Robot,28.57142857142857,Bored,4.401408450704225,Zombie,33.11258278145695,Aquamarine,7.8988941548183265,Beanie,17.301038062283737,Gold Stud,22.779043280182233,121.2452621009248
9,7,5.310674455655868,Stunt Jacket,56.17977528089888,Sleepy,13.315579227696405,Small Grin,36.76470588235294,Brown,7.2992700729927,Purple,7.74593338497289,Seaman's Hat,23.809523809523807,Silver Stud,12.150668286755772,162.57613040084925
10,6,1.8786398647379297,Navy Striped Tee,29.940119760479043,Eyepatch,30.030030030030026,Bored,4.401408450704225,Dmt,46.51162790697675,Aquamarine,7.8988941548183265,Bayc Hat Red,84.03361344537815,,1.4238929232521713,206.11822653637662
11,6,1.8786398647379297,Smoking Jacket,45.24886877828054,Bloodshot,11.82033096926714,Bored Unshaven Cigarette,22.831050228310502,Dark Brown,7.396449704142013,Gray,8.547008547008547,Laurel Wreath,138.88888888888889,,1.4238929232521713,238.03512990388774
12,6,1.8786398647379297,Black Holes T,48.78048780487805,Wide Eyed,18.214936247723134,Discomfort,48.07692307692308,Brown,7.2992700729927,Army Green,8.045052292839904,Seaman's Hat,23.809523809523807,,1.4238929232521713,157.52872609287076
13,6,1.8786398647379297,Bone Tee,43.47826086956522,Coins,20.876826722338205,Bored,4.401408450704225,Black,8.136696501220504,Yellow,7.79423226812159,Police Motorcycle Helmet,76.92307692307692,,1.4238929232521713,164.91303452301676
14,6,1.8786398647379297,Tanktop,42.5531914893617,3d,20.53388090349076,Small Grin,36.76470588235294,Cheetah,24.630541871921185,Orange,7.855459544383347,,4.432624113475177,Diamond Stud,45.04504504504504,183.69408871476807
15,6,1.8786398647379297,Black T,29.940119760479043,Zombie,32.467532467532465,Phoneme L,41.49377593360996,Gray,20.161290322580644,Gray,8.547008547008547,Girl's Hair Pink,95.23809523809523,,1.4238929232521713,231.15035505729597
16,7,5.310674455655868,Bone Necklace,49.26108374384237,Bored,5.834305717619603,Dumbfounded,19.801980198019802,Dark Brown,7.396449704142013,Purple,7.74593338497289,Horns,39.682539682539684,Silver Hoop,11.337868480725623,146.37083536751786
17,7,5.310674455655868,Bayc T Black,46.51162790697675,Closed,14.084507042253522,Bored Unshaven,6.447453255963895,Tan,15.974440894568689,New Punk Blue,8.116883116883116,Commie Hat,32.89473684210526,Gold Stud,22.779043280182233,152.11936679458933
18,5,3.937007874015748,Vietnam Jacket,44.642857142857146,Cyborg,92.59259259259258,Bored Cigarette,14.084507042253522,Robot,37.735849056603776,Purple,7.74593338497289,,4.432624113475177,,1.4238929232521713,206.59526413002303
